,speaker,utterance,prevId,episode_name
0,Rachel,Pheebs? Could you get that? Please?,-1.0,S05E23
1,Phoebe,Why? Just 'cause you're too lazy to get up off your touchie?,0.0,S05E23
2,Rachel,No! No! It's just that all the people in the entire world that I want to talk to are right here.,1.0,S05E23
3,Phoebe, Okay! ,2.0,S05E23
4,Rachel, Sucker!,3.0,S05E23
5,Phoebe, Hello?  Hey Joey!,4.0,S05E23
6,Joey,"Hey Pheebs! Listen, uh can you do me a favor? I forgot the pin number to my ATM card can, can you get it for me?",5.0,S05E23
7,Phoebe,Sure! Where is it?,6.0,S05E23
8,Joey,"Uh, I scratched it on the ATM machine down on the corner.",7.0,S05E23
9,Phoebe,Ohh! So you're 5639?!,8.0,S05E23
10,Joey,That's it! Thanks Pheebs!,9.0,S05E23
11,Chandler, Hey!,10.0,S05E23
12,Phoebe," Ooh, do you want to talk to Chandler?",11.0,S05E23
13,Chandler, Is that Joey?!  Let me talk to him!,12.0,S05E23
14,Joey,No!  Because he didn't believe in my movie! Which is a big mistake because it is real! Real!,13.0,S05E23
15,A Casino Boss,Hey! Tribbiani! Get back to work! Break time's over!,14.0,S05E23
16,Phoebe,Who was that?,15.0,S05E23
17,Joey,"Uhh, my stunt double. Yeah, and y'know, he's getting a little too familiar for my tastes.",16.0,S05E23
18,Chandler," Y'know what? I have been trying to apologize to him all week! If he's not gonna let me do it on the phone, I'm gonna go down there and do it in person.",17.0,S05E23
19,Joey,"Uhh Pheebs, I heard that. Can you put him on?",18.0,S05E23
20,Phoebe,Yeah! ,19.0,S05E23
21,Chandler, Hey!,20.0,S05E23
22,Joey,Don't come out here!,21.0,S05E23
23,Chandler,"No-no-no-no, I've supported you one hundred percent and I want to prove that to you in person!",22.0,S05E23
24,Joey,I got that! I forgive ya! Don't come out here!,23.0,S05E23
25,Chandler,Forgive me? You haven't been taking my calls in a week!,24.0,S05E23
26,Joey,"Well, I'm totally over it Chandler. Friends forever! Don't come out here!",25.0,S05E23
27,A Tourist, Would you mind doing a picture with us?,26.0,S05E23
28,Chandler,"Uh, what was that?",27.0,S05E23
29,Joey,"Uh, Entertainment Tonight. [Cut to Chandler] Yeah, okay so, good talking to ya and don't come out here. All right. ",28.0,S05E23
30,Phoebe,Monica! I'm sorry I'm late!  Monica? ,29.0,S05E23
31,Monica," Phoebe?  Oh, Phoebe, I'm so sorry. Have you been here long?",30.0,S05E23
32,Phoebe, It's okay. What the hell took you so long?,31.0,S05E23
33,Monica,"Okay, you can not tell Chandler. Okay? That I ran into Richard.",32.0,S05E23
34,Phoebe,Which Richard?,33.0,S05E23
35,Monica,The Richard.,34.0,S05E23
36,Phoebe,Richard Simmons?! Oh my God!,35.0,S05E23
37,Monica,"Noo! My ex-boyfriend Richard! Y'know the tall guy, moustache?",36.0,S05E23
38,Phoebe,"Oh! Okay, that actually makes more sense. So how was it?",37.0,S05E23
39,Monica,"It was, it was really nice. We started talking and I-I ended up having lunch with him.",38.0,S05E23
40,Phoebe,That is so weird! I had a dream that you'd have lunch with Richard.,39.0,S05E23
41,Monica,Really?,40.0,S05E23
42,Phoebe,"But again, Simmons. Go on.",41.0,S05E23
43,Monica,"The strange part was, he was really nice, umm and he looks great, but I didn't feel anything at all!",42.0,S05E23
44,Phoebe,Ooh! So now why can't we tell Chandler?,43.0,S05E23
45,Monica,Because it would totally freak him out and tomorrow's our anniversary. I just don't want anything to spoil that.,44.0,S05E23
46,Phoebe,"Oh, I can't believe you guys lasted a whole year!",45.0,S05E23
47,Monica,I know.,46.0,S05E23
48,Phoebe,Wow! I owe Rachel 20 bucks!,47.0,S05E23
49,Monica,What?,48.0,S05E23
50,Phoebe,On a totally different bet.,49.0,S05E23
51,Chandler, Hey!,50.0,S05E23
52,Monica,It's almost our anniversary!,51.0,S05E23
53,Chandler,I know. Can you believe it? One year ago today I was just your annoying friend Chandler.,52.0,S05E23
